,T/Period,diffMag
0,0.401103020034,-1.81933333333
1,0.402804429962,-1.81516666667
2,0.404841500188,-1.81166666667
3,0.435154420177,-1.753
4,0.627163480259,-1.458
5,0.583945240117,-1.46316666667
6,0.585345720164,-1.51983333333
7,0.589454579856,-1.505
8,0.043628760275,-1.3815
9,0.116698430047,-1.38783333333
10,0.237870980085,-1.30583333333
11,0.256054089901,-1.4765
12,0.27215385021,-1.7365
13,0.288936479979,-1.85583333333
14,0.305290869934,-1.98483333333
15,0.321078110052,-2.02533333333
16,0.340395499983,-1.97916666667
17,0.35946983009,-1.93316666667
18,0.552090970269,-1.55616666667
19,0.571871289918,-1.53233333333
20,0.598144770069,-1.482
21,0.0724585301195,-1.37316666667
22,0.0727015899447,-1.35616666667
23,0.0729446399909,-1.37366666667
24,0.0731876998161,-1.349
25,0.0734307601069,-1.37583333333
26,0.0736738101532,-1.34383333333
27,0.073905300158,-1.37566666667
28,0.0741483502043,-1.3625
29,0.0743914100294,-1.36033333333
30,0.0746344698546,-1.3645
31,0.168720910135,-1.35566666667
32,0.16896396996,-1.3165
33,0.169207030251,-1.35683333333
34,0.169450079831,-1.3555
35,0.169681569836,-1.35933333333
36,0.169924619882,-1.33633333333
37,0.170167680173,-1.35133333333
38,0.170410739998,-1.37016666667
39,0.170653799823,-1.36316666667
40,0.170885280049,-1.353
41,0.227714380058,-1.25316666667
42,0.227957439884,-1.23383333333
43,0.228200500174,-1.26716666667
44,0.282760470242,-1.75983333333
45,0.282968800117,-1.75
46,0.283165560171,-1.77733333333
47,0.283373899825,-1.78083333333
48,0.283582230166,-1.76483333333
49,0.328848559943,-2.00683333333
50,0.329056889818,-2.00433333333
51,0.329265229937,-1.991
52,0.329473560278,-2.0145
53,0.329670319867,-1.98033333333
54,0.372529250172,-1.92233333333
55,0.372737580047,-1.8985
56,0.372945909922,-1.87716666667
57,0.373154250041,-1.9
58,0.373362579916,-1.8965
59,0.42432338984,-1.81483333333
60,0.424508580074,-1.7775
61,0.424693760064,-1.78166666667
62,0.424878949833,-1.77183333333
63,0.595014090156,-1.50533333333
64,0.595222420031,-1.50733333333
65,0.59543076015,-1.501
66,0.595627520205,-1.495
67,0.595717799821,-1.49816666667
68,0.676414770046,-1.404
69,0.676623099921,-1.3955
70,0.676831430261,-1.40116666667
71,0.677039769915,-1.418
72,0.677248100256,-1.39383333333
73,0.31746944018,-2.02433333333
74,0.31768935012,-1.99566666667
75,0.31788609993,-2.01133333333
76,0.318094440049,-2.01683333333
77,0.318302769924,-2.00583333333
78,0.331103699992,-1.99433333333
79,0.331312029867,-1.97616666667
80,0.331520369987,-1.97983333333
81,0.331717130042,-2.00883333333
82,0.331919959991,-2.005
83,0.370548209886,-1.87033333333
84,0.370756540227,-1.886
85,0.370953299816,-1.9105
86,0.371161639935,-1.8895
87,0.371369970276,-1.87116666667
88,0.252318870055,-1.34933333333
89,0.25252719993,-1.36566666667
90,0.25273554005,-1.36566666667
91,0.252943869925,-1.35083333333
92,0.253009610123,-1.3835
93,0.266554999876,-1.57666666667
94,0.266763330216,-1.581
95,0.26697166987,-1.5625
96,0.267168420146,-1.59616666667
97,0.267376760266,-1.56083333333
98,0.283869839984,-1.74316666667
99,0.284078169859,-1.74366666667
100,0.284274929914,-1.7595
101,0.284589079919,-1.76533333333
102,0.447922859844,-1.7165
103,0.467679739967,-1.67916666667
104,0.488478289955,-1.67433333333
105,0.508165750225,-1.62916666667
106,0.440467440273,-1.3335
107,0.460178000136,-1.42266666667
108,0.481231160211,-1.44633333333
109,0.503476429946,-1.55233333333
110,0.523302729922,-1.55333333333
111,0.599471380218,-1.49483333333
112,0.617364839866,-1.458
113,0.633441160182,-1.429
114,0.651716550096,-1.43516666667
115,0.667167879856,-1.4275
116,0.362520489946,-1.91733333333
117,0.362647799879,-1.948
118,0.362775110278,-1.916
119,0.362890849925,-1.93316666667
120,0.363018170103,-1.91816666667
121,0.389221679989,-1.85566666667
122,0.389348989922,-1.84816666667
123,0.389476299856,-1.87716666667
124,0.389603620033,-1.86966666667
125,0.389730929967,-1.857
126,0.475980280071,-1.70366666667
127,0.476107600249,-1.69
128,0.476234910182,-1.6715
129,0.476362220116,-1.675
130,0.476489539828,-1.67266666667
131,0.516408220038,-1.613
132,0.516535540215,-1.6115
133,0.516662850149,-1.65
134,0.516778590262,-1.62666666667
135,0.516905900195,-1.622
136,0.100972030224,-1.35666666667
137,0.101099340157,-1.37216666667
138,0.101215090049,-1.36933333333
139,0.101342399982,-1.356
140,0.101469709915,-1.33816666667
141,0.116955189877,-1.3945
142,0.117082500276,-1.40516666667
143,0.117198239924,-1.367
144,0.117325549857,-1.34483333333
145,0.117452870035,-1.36016666667
146,0.129895440215,-1.39066666667
147,0.130022759927,-1.37333333333
148,0.13015006986,-1.41183333333
149,0.130277390038,-1.36816666667
150,0.130393119906,-1.404
151,0.141365250019,-1.36966666667
152,0.141492570197,-1.3795
153,0.141608300065,-1.3995
154,0.141735620243,-1.38883333333
155,0.141862930176,-1.3885
156,0.15332117016,-1.38133333333
157,0.153448489872,-1.38583333333
158,0.153575800271,-1.40766666667
159,0.153703119983,-1.3465
160,0.153830429917,-1.34766666667
161,0.165311820251,-1.37633333333
162,0.165439130185,-1.3565
163,0.165566440118,-1.37716666667
164,0.16569375983,-1.366
165,0.165821070229,-1.4015
166,0.180219100234,-1.33433333333
167,0.180346410168,-1.379
168,0.180462149815,-1.27816666667
169,0.180589460214,-1.3325
170,0.180716779926,-1.35533333333
171,0.583929500262,-1.517
